a	a!
joukkoh	j o! u k o h
joukkoh	j o! u k k o h
joukol	j o! u k o l
joukon	j o! u k o n
joukos	j o! u k o s
joulukuudu	j o! u l u k u: d u
joučenien	j o! u ch e n' i e n
jovel	j o! v' e l
joven	j o! v' e n
joventagažes	j o! v' e n t a g a zh e s
joves	j o! v' e s
jovet	j o! v' e t
jovva	j o! v a
jovva	j o! v v a
jovvummo	j o! v u m o
jovvummo	j o! v v u m o
jovvummo	j o! v u m m o
jovvummo	j o! v v u m m o
juablokkua	j u! a b l o k u a
juablokkua	j u! a b l o k k u a
juablokkupuudu	j u! a b l o k u p u: d u
juablokkupuudu	j u! a b l o k k u p u: d u
juattu	j u! a t u
juattu	j u! a t t u
juaššiekkaine	j u! a sh i^ e k a j n' e
juaššiekkaine	j u! a sh sh i^ e k a j n' e
juaššiekkaine	j u! a sh i^ e k k a j n' e
juaššiekkaine	j u! a sh sh i^ e k k a j n' e
jubilei	j u b' i l' e! j
jubilejal	j u! b' i l' e j a l
jubku	j u! b k u
jugah	j u! g a h
jugiel	j u! g' i e l
julgiembah	j u! l g' i e m b a h
julgiet	j u! l g' i e t
jullattu	j u! l a t u
jullattu	j u! l l a t u
jullattu	j u! l a t t u
jullattu	j u! l l a t t u
jumal	j u! m a l
jumalah	j u! m a l a h
jumalal	j u! m a l a l
jumalale	j u! m a l a l' e
jumalan	j u! m a l a n
jumalanmuamal	j u! m a l a n m u a m a l
jumalanmuaman	j u! m a l a n m u a m a n
jumalanmuamo	j u! m a l a n m u a m o
jumalanmuamua	j u! m a l a n m u a m u a
jumalanpalveluksii	j u! m a l a n p a l v' e l u k s' i:
jumalanpalvelus	j u! m a l a n p a l v' e l u s
jumalansanua	j u! m a l a n s a n u a
jumalas	j u! m a l a s
jumalashäi	j u! m a l a s h' ae j
jumalažen	j u! m a l a zh e n
jumaldoman	j u! m a l d o m a n
jumaloile	j u! m a l o j l' e
jumalua	j u! m a l u a
jungalleh	j u! n g a l' e h
jungalleh	j u! n g a l' l' e h
juodavakse	j u! o d a v a k s' e
juodih	j u! o d' i h
juoduu	j u! o d u:
juohtui	j u! o h t u j
juohtuu	j u! o h t u:
juokseldua	j u! o k s' e l d u a
juoksemah	j u! o k s' e m a h
juoksemmo	j u! o k s' e m o
juoksemmo	j u! o k s' e m m o
juoksen	j u! o k s' e n
juoksendelemah	j u! o k s' e n d' e l' e m a h
juoksendelin	j u! o k s' e n d' e l' i n
juoksendellah	j u! o k s' e n d' e l a h
juoksendellah	j u! o k s' e n d' e l l a h
juoksenduaskel	j u! o k s' e n d u a s k' e l
juoksenleli	j u! o k s' e n l' e l' i
juoksi	j u! o k s' i
juoksin	j u! o k s' i n
juoksou	j u! o k s o u
juomah	j u! o m a h
juondumal'l'at	j u! o n d u m a l' a t
juondumal'l'at	j u! o n d u m a l' l' a t
juoskua	j u! o s k u a
juossou	j u! o s o u
juossou	j u! o s s o u
juosta	j u! o s t a
juostah	j u! o s t a h
juostih	j u! o s t' i h
juostol	j u! o s t o l
juoston	j u! o s t o n
juotti	j u! o t' i
juotti	j u! o t' t' i
juottih	j u! o t' i h
juottih	j u! o t' t' i h
juovuo	j u! o v u o
juovuttaš	j u! o v u t a sh
juovuttaš	j u! o v u t t a sh
jurka	j u! r k a
juugahpäi	j u:! g a h p' ae j
juumorutapahtumistu	j u:! m o r u t a p a h t u m' i s t u
juureh	j u:! r' e h
juuren	j u:! r' e n
juuret	j u:! r' e t
juurevui	j u:! r' e v u j
juuri	j u:! r' i
juurih	j u:! r' i h
juurineh	j u:! r' i n' e h
juuris	j u:! r' i s
južnois	j u! zh n o j s
jygei	j y! g' e j
jygieh	j y! g' i e h
jygiembi	j y! g' i e m b' i
jygies	j y! g' i e s
jygiet	j y! g' i e t
jygiettävu	j y! g' i e t' ae v u
jygiettävu	j y! g' i e t' t' ae v u
jygiettävy	j y! g' i e t' ae v' y
jygiettävy	j y! g' i e t' t' ae v' y
jylgei	j y! l g' e j
jyrkii	j y! r k' i:
jyrkis	j y! r k' i s
jyrkiä	j y! r k' i ae
jyryn	j y! r' y n
jyrypilvi	j y! r' y p' i l v' i
jägimäizii	j ae! g' i m' ae j z' i:
jäi	j ae! j
jäin	j ae! j n
jäiččiä	j ae! j ch i ae
jäiččiä	j ae! j ch ch i ae
jälgagjah	j ae! l g a g j a h
jälgeh	j ae! l g' e h
jälgeläzii	j ae! l g' e l' ae z' i:
jälgi	j ae! l g' i
jälgiaigua	j ae! l g' i a j g u a
jälgiegi	j ae! l g' i e g' i
jälgii	j ae! l g' i:
jälgikerdua	j ae! l g' i k' e r d u a
jälgikerran	j ae! l g' i k' e r a n
jälgikerran	j ae! l g' i k' e r r a n
jälgiläženny	j ae! l g' i l' ae zh e n' y
jälgiläženny	j ae! l g' i l' ae zh e n' n' y
jälgimäine	j ae! l g' i m' ae j n' e
jälgimäizet	j ae! l g' i m' ae j z' e t
jälgimäzikse	j ae! l g' i m' ae z' i k s' e
jälgimäžikse	j ae! l g' i m' ae zh i^ k s' e
jälgivuvvet	j ae! l g' i v u v' e t
jälgivuvvet	j ae! l g' i v u v' v' e t
jälgoissah	j ae! l g o j s a h
jälgoissah	j ae! l g o j s s a h
jälgu	j ae! l g u
jällekkäi	j ae! l' e k' ae j
jällekkäi	j ae! l' l' e k' ae j
jällekkäi	j ae! l' e k' k' ae j
jällekkäi	j ae! l' l' e k' k' ae j
jällen	j ae! l' e n
jällen	j ae! l' l' e n
jälles	j ae! l' e s
jälles	j ae! l' l' e s
jällespäi	j ae! l' e s p' ae j
jällespäi	j ae! l' l' e s p' ae j
jället	j ae! l' e t
jället	j ae! l' l' e t
jällis	j ae! l' i s
jällis	j ae! l' l' i s
jänöi	j ae! n' oe j
jänöidy	j ae! n' oe j d' y
jänöis	j ae! n' oe j s
jänölöi	j ae! n' oe l' oe j
järilleh	j ae! r' i l' e h
järilleh	j ae! r' i l' l' e h
järveh	j ae! r v' e h
järvekse	j ae! r v' e k s' e
järvel	j ae! r v' e l
järvele	j ae! r v' e l' e
järvelessäh	j ae! r v' e l' e s' ae h
järvelessäh	j ae! r v' e l' e s' s' ae h
järvelpäi	j ae! r v' e l p' ae j
järven	j ae! r v' e n
järves	j ae! r v' e s
järvespäi	j ae! r v' e s p' ae j
järvessäh	j ae! r v' e s' ae h
järvessäh	j ae! r v' e s' s' ae h
järvet	j ae! r v' e t
järvettä	j ae! r v' e t' ae
järvettä	j ae! r v' e t' t' ae
järvi	j ae! r v' i
järvie	j ae! r v' i e
järvien	j ae! r v' i e n
järvii	j ae! r v' i:
järvil	j ae! r v' i l
järvilöin	j ae! r v' i l' oe j n
järvilöis	j ae! r v' i l' oe j s
järvirandah	j ae! r v' i r a n d a h
järvirannal	j ae! r v' i r a n a l
järvirannal	j ae! r v' i r a n n a l
jätettih	j ae! t' e t' i h
jätettih	j ae! t' e t' t' i h
jätetty	j ae! t' e t' y
jätetty	j ae! t' e t' t' y
jätettylöis	j ae! t' e t' y l' oe j s
jätettylöis	j ae! t' e t' t' y l' oe j s
jätetyt	j ae! t' e t' y t
jätetä	j ae! t' e t' ae
jätetäh	j ae! t' e t' ae h
jätiimmö	j ae! t' i: m' oe
jätiimmö	j ae! t' i: m' m' oe
jätimmö	j ae! t' i m' oe
jätimmö	j ae! t' i m' m' oe
jätkettih	j ae! t k' e t' i h
jätkettih	j ae! t k' e t' t' i h
jätti	j ae! t' i
jätti	j ae! t' t' i
jättiä	j ae! t' i ae
jättiä	j ae! t' t' i ae
jättäjen	j ae! t' ae j e n
jättäjen	j ae! t' t' ae j e n
jätä	j ae! t' ae
jäzi	j ae! z' i
jää	j ae:!
jäännen	j ae:! n' e n
jäännen	j ae:! n' n' e n
jäännyh	j ae:! n' y h
jäännyh	j ae:! n' n' y h
ka	k a!
kaadui	k a:! d u j
kaadunuh	k a:! d u n u h
kaatuneitten	k a:! t u n' e j t' e n
kaatuneitten	k a:! t u n' e j t' t' e n
kabakat	k a! b a k a t
kabačkat	k a! b a ch k a t
kabel'noi	k a! b' e l' n o j
kabin	k a! b' i n
kabinaspäi	k a! b' i n a s p' ae j
kabinat	k a! b' i n a t
kabjoin	k a! b j o j n
kabrastelemmo	k a! b r a s t' e l' e m o
kabrastelemmo	k a! b r a s t' e l' e m m o
kabrastella	k a! b r a s t' e l a
kabrastella	k a! b r a s t' e l l a
kabrastettih	k a! b r a s t' e t' i h
kabrastettih	k a! b r a s t' e t' t' i h
kabrastettu	k a! b r a s t' e t u
kabrastettu	k a! b r a s t' e t t u
kabrastua	k a! b r a s t u a
kadairajakole	k a! d a j r a j a k o l' e
kadoi	k a! d o j
kaduou	k a! d u o u
kafedral	k a! f' e d r a l
kafedral'noi	k a! f' e d r a l' n o j
kaglah	k a! g l a h
kaglas	k a! g l a s
kaglukses	k a! g l u k s' e s
kagran	k a! g r a n
kagrusiemenii	k a! g r u s' i e m' e n' i:
kaheksa	k a! h' e k s a
kaheksakymen	k a! h' e k s a k' y m' e n
kaheksakymmen	k a! h' e k s a k' y m' e n
kaheksakymmen	k a! h' e k s a k' y m' m' e n
kaheksakymmenkaksi	k a! h' e k s a k' y m' e n k a k s' i
kaheksakymmenkaksi	k a! h' e k s a k' y m' m' e n k a k s' i
kaheksaltostu	k a! h' e k s a l t o s t u
kaheksan	k a! h' e k s a n
kaheksas	k a! h' e k s a s
kaheksasadua	k a! h' e k s a s a d u a
kaheksatostu	k a! h' e k s a t o s t u
kaheksatoštu	k a! h' e k s a t o sh t u
kahtalleh	k a! h t a l' e h
kahtalleh	k a! h t a l' l' e h
kahtei	k a! h t' e j
kahteltostu	k a! h t' e l t o s t u
kahten	k a! h t' e n
kahtes	k a! h t' e s
kahteskymmenes	k a! h t' e s k' y m' e n' e s
kahteskymmenes	k a! h t' e s k' y m' m' e n' e s
kahtet	k a! h t' e t
kahtu	k a! h t u
kahtukymen	k a! h t u k' y m' e n
kahtusadua	k a! h t u s a d u a
kai	k a! j
kaibuan	k a! j b u a n
kaidua	k a! j d u a
kaigo	k a! j g o
kaihäi	k a! j h' ae j
kaikeh	k a! j k' e h
kaikekse	k a! j k' e k s' e
kaikel	k a! j k' e l
kaikelleh	k a! j k' e l' e h
kaikelleh	k a! j k' e l' l' e h
kaiken	k a! j k' e n
kaikenjyttymiä	k a! j k' e n j y t' y m' i ae
kaikenjyttymiä	k a! j k' e n j y t' t' y m' i ae
kaikenjyttyžis	k a! j k' e n j y t' y zh i^ s
kaikenjyttyžis	k a! j k' e n j y t' t' y zh i^ s
kaikenmostu	k a! j k' e n m o s t u
kaikes	k a! j k' e s
kaikil	k a! j k' i l
kaikile	k a! j k' i l' e
kaikilhäi	k a! j k' i l h' ae j
kaikilleh	k a! j k' i l' e h
kaikilleh	k a! j k' i l' l' e h
kaikin	k a! j k' i n
kaikinhäi	k a! j k' i n h' ae j
kaikis	k a! j k' i s
kaikkeh	k a! j k' e h
kaikkeh	k a! j k' k' e h
kaikkie	k a! j k' i e
kaikkie	k a! j k' k' i e
kaikkiedah	k a! j k' i e d a h
kaikkiedah	k a! j k' k' i e d a h
kaikkiel	k a! j k' i e l
kaikkiel	k a! j k' k' i e l
kaikkiele	k a! j k' i e l' e
kaikkiele	k a! j k' k' i e l' e
kaikkien	k a! j k' i e n
kaikkien	k a! j k' k' i e n
kaikkih	k a! j k' i h
kaikkih	k a! j k' k' i h
kaikkii	k a! j k' i:
kaikkii	k a! j k' k' i:
kaima	k a! j m a
kaimain	k a! j m a j n
kaimannuh	k a! j m a n u h
kaimannuh	k a! j m a n n u h
kaimavunnužis	k a! j m a v u n u zh i^ s
kaimavunnužis	k a! j m a v u n n u zh i^ s
kainaloh	k a! j n a l o h
kainalos	k a! j n a l o s
kainalossah	k a! j n a l o s a h
kainalossah	k a! j n a l o s s a h
kaivakkaa	k a! j v a k a:
kaivakkaa	k a! j v a k k a:
kaivamah	k a! j v a m a h
kaivettih	k a! j v' e t' i h
kaivettih	k a! j v' e t' t' i h
kaivetut	k a! j v' e t u t
kaivoi	k a! j v o j
kaivoimmo	k a! j v o j m o
kaivoimmo	k a! j v o j m m o
kaivoloin	k a! j v o l o j n
kaivos	k a! j v o s
kaivospäi	k a! j v o s p' ae j
kaivovetty	k a! j v o v' e t' y
kaivovetty	k a! j v o v' e t' t' y
kaivua	k a! j v u a
kaivuamah	k a! j v u a m a h
kaivuo	k a! j v u o
kaiččii	k a! j ch i:
kaiččii	k a! j ch ch i:
kajos	k a! j o s
kajuat	k a! j u a t
kak	k a! k
kakeksakymmen	k a! k' e k s a k' y m' e n
kakeksakymmen	k a! k' e k s a k' y m' m' e n
kakraz	k a! k r a z
kaksi	k a! k s' i
kaksietuažahiine	k a! k s' i e t u a zh a h' i: n' e
kaksikerroksistu	k a! k s' i k' e r o k s' i s t u
kaksikerroksistu	k a! k s' i k' e r r o k s' i s t u
kaksikerroksižen	k a! k s' i k' e r o k s' i zh e n
kaksikerroksižen	k a! k s' i k' e r r o k s' i zh e n
kaksikieline	k a! k s' i k' i e l' i n' e
kaksikorvuviršilöih	k a! k s' i k o r v u v' i r sh i^ l' oe j h
kaksikymen	k a! k s' i k' y m' e n
kaksikymmen	k a! k s' i k' y m' e n
kaksikymmen	k a! k s' i k' y m' m' e n
kaksikymmenkaheksa	k a! k s' i k' y m' e n k a h' e k s a
kaksikymmenkaheksa	k a! k s' i k' y m' m' e n k a h' e k s a
kaksisadua	k a! k s' i s a d u a
kaksitostu	k a! k s' i t o s t u
kaksitoštu	k a! k s' i t o sh t u
kaksituhat	k a! k s' i t u h a t
kaksituhattu	k a! k s' i t u h a t u
kaksituhattu	k a! k s' i t u h a t t u
kaksivangažih	k a! k s' i v a n g a zh i^ h
kakskymen	k a! k s k' y m' e n
kakut	k a! k u t
kal'askan	k a! l' a s k a n
kala	k a! l a
kaladorogua	k a! l a d o r o g u a
kalah	k a! l a h
kalakohtat	k a! l a k o h t a t
kalal	k a! l a l
kalamatkas	k a! l a m a t k a s
kalan	k a! l a n
kalankazvattajakse	k a! l a n k a z v a t a j a k s' e
kalankazvattajakse	k a! l a n k a z v a t t a j a k s' e
kalanpyvvyksii	k a! l a n p' y v' y k s' i:
kalanpyvvyksii	k a! l a n p' y v' v' y k s' i:
kalanrazvan	k a! l a n r a z v a n
kalantarkastajat	k a! l a n t a r k a s t a j a t
kalantutkijakse	k a! l a n t u t k' i j a k s' e
kalantutkijua	k a! l a n t u t k' i j u a
kalaparvii	k a! l a p a r v' i:
kalapyvvyksien	k a! l a p' y v' y k s' i e n
kalapyvvyksien	k a! l a p' y v' v' y k s' i e n
kalas	k a! l a s
kalastai	k a! l a s t a j
kalastajannu	k a! l a s t a j a n u
kalastajannu	k a! l a s t a j a n n u
kalastajat	k a! l a s t a j a t
kalastajien	k a! l a s t a j i e n
kalastajil	k a! l a s t a j i l
kalastamah	k a! l a s t a m a h
kalastan	k a! l a s t a n
kalasti	k a! l a s t' i
kalastua	k a! l a s t u a
kalastuspaikkoih	k a! l a s t u s p a j k o j h
kalastuspaikkoih	k a! l a s t u s p a j k k o j h
kalat	k a! l a t
kalavirššilöi	k a! l a v' i r sh i^ l' oe j
kalavirššilöi	k a! l a v' i r sh sh i^ l' oe j
kalazavodakse	k a! l a z a v o d a k s' e
kalazavodal	k a! l a z a v o d a l
kalazavodu	k a! l a z a v o d u
kalažikko	k a! l a zh i^ k o
kalažikko	k a! l a zh i^ k k o
kaldavui	k a! l d a v u j
kalevalan	k a! l' e v a l a n
kalevalas	k a! l' e v a l a s
kalininan	k a! l' i n' i n a n
kallehel	k a! l' e h' e l
kallehel	k a! l' l' e h' e l
kallehembi	k a! l' e h' e m b' i
kallehembi	k a! l' l' e h' e m b' i
kallehet	k a! l' e h' e t
kallehet	k a! l' l' e h' e t
kallivon	k a! l' i v o n
kallivon	k a! l' l' i v o n
kallivot	k a! l' i v o t
kallivot	k a! l' l' i v o t
kallivuo	k a! l' i v u o
kallivuo	k a! l' l' i v u o
kalliš	k a! l' i sh
kalliš	k a! l' l' i sh
kalmah	k a! l m a h
kalmažimale	k a! l m a zh i^ m a l' e
kalmoile	k a! l m o j l' e
kalmoin	k a! l m o j n
kalmu	k a! l m u
kalmužiman	k a! l m u zh i^ m a n
kaloi	k a! l o j
kalua	k a! l u a
kaluu	k a! l u:
kaluštu	k a! l u sh t u
kamahtiheze	k a! m a h t' i h' e z' e
kamaitammo	k a! m a j t a m o
kamaitammo	k a! m a j t a m m o
kamandat	k a! m a n d a t
kamarissah	k a! m a r' i s a h
kamarissah	k a! m a r' i s s a h
kamodat	k a! m o d a t
kamus	k a! m u s
kana	k a! n a
kanaa	k a! n a:
kanadskoit	k a! n a d s k o j t
kanan	k a! n a n
kanat	k a! n a t
kanažii	k a! n a zh i^:
kandai	k a! n d a j
kandamuksennu	k a! n d a m u k s' e n u
kandamuksennu	k a! n d a m u k s' e n n u
kandogi	k a! n d o g' i
kandoi	k a! n d o j
kandua	k a! n d u a
kangasjärvi	k a! n g a s j ae r v' i
kangastus	k a! n g a s t u s
kannakkua	k a! n a k u a
kannakkua	k a! n n a k u a
kannakkua	k a! n a k k u a
kannakkua	k a! n n a k k u a
kannal	k a! n a l
kannal	k a! n n a l
kannat	k a! n a t
kannat	k a! n n a t
kannateksen	k a! n a t' e k s' e n
kannateksen	k a! n n a t' e k s' e n
kannatettu	k a! n a t' e t u
kannatettu	k a! n n a t' e t u
kannatettu	k a! n a t' e t t u
kannatettu	k a! n n a t' e t t u
kannattamah	k a! n a t a m a h
kannattamah	k a! n n a t a m a h
kannattamah	k a! n a t t a m a h
kannattamah	k a! n n a t t a m a h
kannattau	k a! n a t a u
kannattau	k a! n n a t a u
kannattau	k a! n a t t a u
kannattau	k a! n n a t t a u
kannattaugo	k a! n a t a u g o
kannattaugo	k a! n n a t a u g o
kannattaugo	k a! n a t t a u g o
kannattaugo	k a! n n a t t a u g o
kannattazimmo	k a! n a t a z' i m o
kannattazimmo	k a! n n a t a z' i m o
kannattazimmo	k a! n a t t a z' i m o
kannattazimmo	k a! n n a t t a z' i m o
kannattazimmo	k a! n a t a z' i m m o
kannattazimmo	k a! n n a t a z' i m m o
kannattazimmo	k a! n a t t a z' i m m o
kannattazimmo	k a! n n a t t a z' i m m o
kannattua	k a! n a t u a
kannattua	k a! n n a t u a
kannattua	k a! n a t t u a
kannattua	k a! n n a t t u a
kannatustu	k a! n a t u s t u
kannatustu	k a! n n a t u s t u
kanneltah	k a! n' e l t a h
kanneltah	k a! n' n' e l t a h
kannettih	k a! n' e t' i h
kannettih	k a! n' n' e t' i h
kannettih	k a! n' e t' t' i h
kannettih	k a! n' n' e t' t' i h
kannoimmo	k a! n o j m o
kannoimmo	k a! n n o j m o
kannoimmo	k a! n o j m m o
kannoimmo	k a! n n o j m m o
kannol	k a! n o l
kannol	k a! n n o l
kannon	k a! n o n
kannon	k a! n n o n
kannot	k a! n o t
kannot	k a! n n o t
kanoin	k a! n o j n
kansalližen	k a! n s a l' i zh e n
kansalližen	k a! n s a l' l' i zh e n
kanservubankastu	k a! n s' e r v u b a n k a s t u
kantor	k a! n t o r
kantoras	k a! n t o r a s
kanualua	k a! n u a l u a
kanzalline	k a! n z a l' i n' e
kanzalline	k a! n z a l' l' i n' e
kanzallines	k a! n z a l' i n' e s
kanzallines	k a! n z a l' l' i n' e s
kanzallizen	k a! n z a l' i z' e n
kanzallizen	k a! n z a l' l' i z' e n
kanzan	k a! n z a n
kanzu	k a! n z u
kapsaa	k a! p s a:
kapsandan	k a! p s a n d a n
kapsanuh	k a! p s a n u h
kapustaa	k a! p u s t a:
kapustua	k a! p u s t u a
kapustusuuppu	k a! p u s t u s u: p u
kapustusuuppu	k a! p u s t u s u: p p u
karahtih	k a! r a h t' i h
karaitukset	k a! r a j t u k s' e t
karandišan	k a! r a n d' i sh a n
karandišat	k a! r a n d' i sh a t
kardalaizet	k a! r d a l a j z' e t
karel	k a r' e! l
karelenergo	k a! r' e l' e n' e r g o
karelenerskoi	k a! r' e l' e n' e r s k o j
karelia	k a! r' e l' i a
karelija	k a r' e! l' i j a
karellesprom	k a! r' e l' e s p r o m
karellesprom	k a! r' e l' l' e s p r o m
karellesproma	k a! r' e l' e s p r o m a
karellesproma	k a! r' e l' l' e s p r o m a
karellesproman	k a! r' e l' e s p r o m a n
karellesproman	k a! r' e l' l' e s p r o m a n
karellestorga	k a! r' e l' e s t o r g a
karellestorga	k a! r' e l' l' e s t o r g a
karelpotrebsojuz	k a! r' e l p o t r' e b s o j u z
karelribvod	k a! r' e l r' i b v o d
kargei	k a! r g' e j
karguan	k a! r g u a n
kargulastu	k a! r g u l a s t u
karhakkokäzil	k a! r h a k o k' ae z' i l
karhakkokäzil	k a! r h a k k o k' ae z' i l
karhean	k a! r h' e a n
karjal	k a! r j a l
karjala	k a! r j a l a
karjalah	k a! r j a l a h
karjalain'ego	k a! r j a l a j n' e g o
karjalaine	k a! r j a l a j n' e
karjalaizel	k a! r j a l a j z' e l
karjalaizen	k a! r j a l a j z' e n
karjalaizet	k a! r j a l a j z' e t
karjalaizien	k a! r j a l a j z' i e n
karjalaizil	k a! r j a l a j z' i l
karjalakse	k a! r j a l a k s' e
karjalaksi	k a! r j a l a k s' i
karjalal	k a! r j a l a l
karjalan	k a! r j a l a n
karjalani	k a! r j a l a n' i
karjalas	k a! r j a l a s
karjalaspäi	k a! r j a l a s p' ae j
karjalastu	k a! r j a l a s t u
karjalazennu	k a! r j a l a z' e n u
karjalazennu	k a! r j a l a z' e n n u
karjalazes	k a! r j a l a z' e s
karjalazet	k a! r j a l a z' e t
karjalazien	k a! r j a l a z' i e n
karjalazih	k a! r j a l a z' i h
karjalazii	k a! r j a l a z' i:
karjalazil	k a! r j a l a z' i l
karjalaštu	k a! r j a l a sh t u
karjalažele	k a! r j a l a zh e l' e
karjalažen	k a! r j a l a zh e n
karjalažet	k a! r j a l a zh e t
karjalažii	k a! r j a l a zh i^:
karjalažiigi	k a! r j a l a zh i^: g' i
karjalu	k a! r j a l u
karjalua	k a! r j a l u a
karju	k a! r j u
karjua	k a! r j u a
karkoitan	k a! r k o j t a n
karkotti	k a! r k o t' i
karkotti	k a! r k o t' t' i
karl	k a! r l
kartež	k a! r t' e zh
kartohkaa	k a! r t o h k a:
kartohkas	k a! r t o h k a s
kartohkat	k a! r t o h k a t
kartohku	k a! r t o h k u
kartohkua	k a! r t o h k u a
kartokhaa	k a! r t o k h a:
karuloih	k a! r u l o j h
karvat	k a! r v a t
karvuhuuli	k a! r v u h u: l' i
kaskesniemeh	k a! s k' e s n' i e m' e h
kassua	k a! s u a
kassua	k a! s s u a
kastamattah	k a! s t a m a t a h
kastamattah	k a! s t a m a t t a h
kastan	k a! s t a n
kastua	k a! s t u a
kat'oin	k a! t' o j n
katepaltin	k a! t' e p a l t' i n
katerit	k a! t' e r' i t
katettih	k a! t' e t' i h
katettih	k a! t' e t' t' i h
katettu	k a! t' e t u
katettu	k a! t' e t t u
katiskua	k a! t' i s k u a
katkai	k a! t k a j
katkata	k a! t k a t a
katkeni	k a! t k' e n' i
katkettih	k a! t k' e t' i h
katkettih	k a! t k' e t' t' i h
katkieu	k a! t k' i e u
katkoi	k a! t k o j
katkondu	k a! t k o n d u
katoi	k a! t o j
katoimmo	k a! t o j m o
katoimmo	k a! t o j m m o
kattau	k a! t a u
kattau	k a! t t a u
kattavunnuttu	k a! t a v u n u t u
kattavunnuttu	k a! t t a v u n u t u
kattavunnuttu	k a! t a v u n n u t u
kattavunnuttu	k a! t t a v u n n u t u
kattavunnuttu	k a! t a v u n u t t u
kattavunnuttu	k a! t t a v u n u t t u
kattavunnuttu	k a! t a v u n n u t t u
kattavunnuttu	k a! t t a v u n n u t t u
kattilah	k a! t' i l a h
kattilah	k a! t' t' i l a h
kattilan	k a! t' i l a n
kattilan	k a! t' t' i l a n
kattilaspäi	k a! t' i l a s p' ae j
kattilaspäi	k a! t' t' i l a s p' ae j
kattuakseh	k a! t u a k s' e h
kattuakseh	k a! t t u a k s' e h
kaunehien	k a! u n' e h' i e n
kaunehkirjallisuttu	k a! u n' e h k' i r j a l' i s u t u
kaunehkirjallisuttu	k a! u n' e h k' i r j a l' l' i s u t u
kaunehkirjallisuttu	k a! u n' e h k' i r j a l' i s u t t u
kaunehkirjallisuttu	k a! u n' e h k' i r j a l' l' i s u t t u
kaunehkirjutuksen	k a! u n' e h k' i r j u t u k s' e n
kaunehkirjutuksiigi	k a! u n' e h k' i r j u t u k s' i: g' i
kaunehkirjutus	k a! u n' e h k' i r j u t u s
kauniskirjutukses	k a! u n' i s k' i r j u t u k s' e s
kauniskirjutus	k a! u n' i s k' i r j u t u s
kaunistu	k a! u n' i s t u
kauti	k a! u t' i
kavonnuon	k a! v o n u o n
kavonnuon	k a! v o n n u o n
kavvä	k a! v' ae
kavvä	k a! v' v' ae
kazah	k a! z a h
kazaki	k a z a k' i!
kazva	k a! z v a
kazvamah	k a! z v a m a h
kazvatan	k a! z v a t a n
kazvatannuh	k a! z v a t a n u h
kazvatannuh	k a! z v a t a n n u h
kazvatetah	k a! z v a t' e t a h
kazvatettih	k a! z v a t' e t' i h
kazvatettih	k a! z v a t' e t' t' i h
kazvatetut	k a! z v a t' e t u t
kazvatiimmo	k a! z v a t' i: m o
kazvatiimmo	k a! z v a t' i: m m o
kazvatimmo	k a! z v a t' i m o
kazvatimmo	k a! z v a t' i m m o
kazvatin	k a! z v a t' i n
kazvatitto	k a! z v a t' i t o
kazvatitto	k a! z v a t' i t t o
kazvattau	k a! z v a t a u
kazvattau	k a! z v a t t a u
kazvatti	k a! z v a t' i
kazvatti	k a! z v a t' t' i
kazvattua	k a! z v a t u a
kazvattua	k a! z v a t t u a
kazvau	k a! z v a u
kazvetah	k a! z v' e t a h
kazvettih	k a! z v' e t' i h
kazvettih	k a! z v' e t' t' i h
kazvoi	k a! z v o j
kazvoimmo	k a! z v o j m o
kazvoimmo	k a! z v o j m m o
kazvoin	k a! z v o j n
kazvoine	k a! z v o j n' e
kazvoit	k a! z v o j t
kazvou	k a! z v o u
kačahtai	k a! ch a h t a j
kačahtammos	k a! ch a h t a m o s
kačahtammos	k a! ch a h t a m m o s
kačahtella	k a! ch a h t' e l a
kačahtella	k a! ch a h t' e l l a
kačahtettiheze	k a! ch a h t' e t' i h' e z' e
kačahtettiheze	k a! ch a h t' e t' t' i h' e z' e
kačahtih	k a! ch a h t' i h
kačahtihes	k a! ch a h t' i h' e s
kačahtukses	k a! ch a h t u k s' e s
kačellah	k a! ch e l a h
kačellah	k a! ch e l l a h
kačellen	k a! ch e l' e n
kačellen	k a! ch e l' l' e n
kačkerah	k a! ch k' e r a h
kačo	k a! ch o
kačoi	k a! ch o j
kačoimmo	k a! ch o j m o
kačoimmo	k a! ch o j m m o
kačoin	k a! ch o j n
kačoit	k a! ch o j t
kačomattah	k a! ch o m a t a h
kačomattah	k a! ch o m a t t a h
kačommo	k a! ch o m o
kačommo	k a! ch o m m o
kačon	k a! ch o n
kačondu	k a! ch o n d u
kačos	k a! ch o s
kačot	k a! ch o t
kačota	k a! ch o t a
kačotah	k a! ch o t a h
kačothäi	k a! ch o t h' ae j
kačottih	k a! ch o t' i h
kačottih	k a! ch o t' t' i h
kačottu	k a! ch o t u
kačottu	k a! ch o t t u
kaččelen	k a! ch e l' e n
kaččelen	k a! ch ch e l' e n
kaččeli	k a! ch e l' i
kaččeli	k a! ch ch e l' i
kaččelimmo	k a! ch e l' i m o
kaččelimmo	k a! ch ch e l' i m o
kaččelimmo	k a! ch e l' i m m o
kaččelimmo	k a! ch ch e l' i m m o
kaččojakse	k a! ch o j a k s' e
kaččojakse	k a! ch ch o j a k s' e
kaččojannu	k a! ch o j a n u
kaččojannu	k a! ch ch o j a n u
